data;geracao mwmed
2018-01-12;64479,00
2018-01-19;67802,00
2018-01-26;69631,00
2018-02-02;67029,00
2018-02-09;66717,00
2018-02-16;63997,00
2018-02-23;67372,00
2018-03-02;67674,00
2018-03-09;69248,00
2018-03-16;69577,00
2018-03-23;68444,00
2018-03-30;64895,00
2018-04-06;65577,00
2018-04-13;65490,00
2018-04-20;62289,00
2018-04-27;63297,00
2018-05-04;62218,00
2018-05-11;62781,00
2018-05-18;62255,00
2018-05-25;58508,00
2018-06-01;53303,00
2018-06-08;58484,00
2018-06-15;60586,00
2018-06-22;59531,00
2018-06-29;60174,00
2018-07-06;59777,00
2018-07-13;58845,00
2018-07-20;59869,00
2018-07-27;59756,00
2018-08-03;60335,00
2018-08-10;60425,00
2018-08-17;59994,00
2018-08-24;60723,00
2018-08-31;59031,00
2018-09-07;59473,00
2018-09-14;60436,00
2018-09-21;61848,00
2018-09-28;63751,00
2018-10-05;63269,00
2018-10-12;62130,00
2018-10-19;64184,00
2018-10-26;63084,00
2018-11-02;62495,00
2018-11-09;62565,00
2018-11-16;65005,00
2018-11-23;63515,00
2018-11-30;64770,00
2018-12-07;65351,00
2018-12-14;66620,00
2018-12-21;70214,00
2018-12-28;61152,00
2019-01-04;63012,00
2019-01-11;69678,00
2019-01-18;72052,00
2019-01-25;73292,00
2019-02-01;73614,00
2019-02-08;69538,00
2019-02-15;69698,00
2019-02-22;68298,00
2019-03-01;69372,00
2019-03-08;65453,00
2019-03-15;69008,00
2019-03-22;67805,00
2019-03-29;65805,00
2019-04-05;66957,00
2019-04-12;65748,00
2019-04-19;63882,00
2019-04-26;64582,00
2019-05-03;63157,00
2019-05-10;64545,00
2019-05-17;62971,00
2019-05-24;61306,00
2019-05-31;61895,00
2019-06-07;61306,00
2019-06-14;61151,00
2019-06-21;59777,00
2019-06-28;60384,00
2019-07-05;61255,00
2019-07-12;57750,00
2019-07-19;59015,00
2019-07-26;59168,00
2019-08-02;59848,00
2019-08-09;59220,00
2019-08-16;60572,00
2019-08-23;60445,00
2019-08-30;60173,00
2019-09-06;61720,00
2019-09-13;63942,00
2019-09-20;65947,00
2019-09-27;62301,00
2019-10-04;63140,00
2019-10-11;63592,00
2019-10-18;65953,00
2019-10-25;64084,00
2019-11-01;67223,00
2019-11-08;66463,00
2019-11-15;64801,00
2019-11-22;64129,00
2019-11-29;64843,00
2019-12-06;65557,00
2019-12-13;66574,00
2019-12-20;67021,00
2019-12-27;61694,00
2020-01-03;62899,00
2020-01-10;68073,00
2020-01-17;70782,00
2020-01-24;67652,00
2020-01-31;70025,00
2020-02-07;70217,00
2020-02-14;68407,00
2020-02-21;72354,00
2020-02-28;64829,00
2020-03-06;66743,00
2020-03-13;69600,00
2020-03-20;70031,00
2020-03-27;61198,00
2020-04-03;60986,00
2020-04-10;57489,00
2020-04-17;56167,00
2020-04-24;55674,00
2020-05-01;56653,00
2020-05-08;56491,00
2020-05-15;56582,00
2020-05-22;56743,00
2020-05-29;55778,00
2020-06-05;56781,00
2020-06-12;57252,00
2020-06-19;56711,00
2020-06-26;58228,00
2020-07-03;57796,00
2020-07-10;58265,00
2020-07-17;58976,00
2020-07-24;59082,00
2020-07-31;60960,00
2020-08-07;59228,00
2020-08-14;61273,00
2020-08-21;62552,00
2020-08-28;60222,00
2020-09-04;63556,00
2020-09-11;63671,00
2020-09-18;66188,00
2020-09-25;64327,00
2020-10-02;69017,00
2020-10-09;70324,00
2020-10-16;65228,00
2020-10-23;65635,00
2020-10-30;65299,00
2020-11-06;60130,00
2020-11-13;65038,00
2020-11-20;64532,00
2020-11-27;66259,00
2020-12-04;69116,00
2020-12-11;66511,00
2020-12-18;68856,00
2020-12-25;64466,00
2021-01-01;62286,00
2021-01-08;67258,00
2021-01-15;70225,00
2021-01-22;69036,00
2021-01-29;71782,00
2021-02-05;72836,00
2021-02-12;67176,00
2021-02-19;67627,00
2021-02-26;71024,00
2021-03-05;70069,00
2021-03-12;70855,00
2021-03-19;72812,00
2021-03-26;72872,00
2021-04-02;70215,00
2021-04-09;68562,00
2021-04-16;69533,00
2021-04-23;66706,00
2021-04-30;67433,00
2021-05-07;66406,00
2021-05-14;66282,00
2021-05-21;66998,00
2021-05-28;67290,00
2021-06-04;66166,00
2021-06-11;66308,00
2021-06-18;65232,00
2021-06-25;64996,00
2021-07-02;63922,00
2021-07-09;63638,00
2021-07-16;64840,00
2021-07-23;64940,00
2021-07-30;64648,00
2021-08-06;64287,00
2021-08-13;65212,00
2021-08-20;65942,00
2021-08-27;68510,00
2021-09-03;81890,00
2021-09-10;66458,00
2021-09-17;68979,00
2021-09-24;68471,00
2021-10-01;69593,00
2021-10-08;68515,00
2021-10-15;64821,00
2021-10-22;64675,00
2021-10-29;67047,00
2021-11-05;66398,00
2021-11-12;68283,00
2021-11-19;68402,00
2021-11-26;71004,00
2021-12-03;72781,00
2021-12-10;70379,00
2021-12-17;73103,00
2021-12-24;69283,00
2021-12-31;65081,00
2022-01-07;68274,00
2022-01-14;69859,00
2022-01-21;74448,00
2022-01-28;76595,00
2022-02-04;72198,00
2022-02-11;72578,00
2022-02-18;73983,00
2022-02-25;74683,00
2022-03-04;74799,00
2022-03-11;76758,00
2022-03-18;74574,00
2022-03-25;71675,00
2022-04-01;71863,00
2022-04-08;70938,00
2022-04-15;69659,00
2022-04-22;65664,00
2022-04-29;70695,00
2022-05-06;68560,00
2022-05-13;67292,00
2022-05-20;67552,00
2022-05-27;67185,00
2022-06-03;68179,00
2022-06-10;67067,00
2022-06-17;65112,00
2022-06-24;66758,00
2022-07-01;65545,00
2022-07-08;66394,00
2022-07-15;67824,00
2022-07-22;67796,00
2022-07-29;67064,00
2022-08-05;67791,00
2022-08-12;67735,00
2022-08-19;66857,00
2022-08-26;66235,00
2022-09-02;66942,00
2022-09-09;66852,00
2022-09-16;69485,00
2022-09-23;68158,00
2022-09-30;67815,00
2022-10-07;67406,00
2022-10-14;67552,00
2022-10-21;70144,00
2022-10-28;69871,00
2022-11-04;67130,00
2022-11-11;66904,00
2022-11-18;68479,00
2022-11-25;71420,00
2022-12-02;71090,00
2022-12-09;72571,00
2022-12-16;73981,00
2022-12-23;67752,00
2022-12-30;64416,00
2023-01-06;66445,00
2023-01-13;70044,00
2023-01-20;74360,00
2023-01-27;74530,00
2023-02-03;75678,00
2023-02-10;76908,00
2023-02-17;77860,00
2023-02-24;70383,00
2023-03-03;76219,00
2023-03-10;76825,00
2023-03-17;75642,00
2023-03-24;76876,00
2023-03-31;75778,00
2023-04-07;71302,00
2023-04-14;72035,00
2023-04-21;70871,00
2023-04-28;69997,00
2023-05-05;71460,00
2023-05-12;73680,00
2023-05-19;70485,00
2023-05-26;71194,00
2023-06-02;72541,00
2023-06-09;68539,00
2023-06-16;71954,00
2023-06-23;70557,00
2023-06-30;70201,00
2023-07-07;69750,00
2023-07-14;71270,00
2023-07-21;69949,00
2023-07-28;71007,00
2023-08-04;70889,00
2023-08-11;72401,00
2023-08-18;70797,00
2023-08-25;74650,00
2023-09-01;72691,00
2023-09-08;72435,00
2023-09-15;73640,00
2023-09-22;77318,00
2023-09-29;80642,00
2023-10-06;77050,00
2023-10-13;76334,00
2023-10-20;76341,00
2023-10-27;78266,00
2023-11-03;77151,00
2023-11-10;77373,00
2023-11-17;85683,00
2023-11-24;82165,00
2023-12-01;80043,00
2023-12-08;83186,00
2023-12-15;81362,00
2023-12-22;84178,00
2023-12-29;75603,00
2024-01-05;73400,00
2024-01-12;81000,00
2024-01-19;82859,00
2024-01-26;78062,00
2024-02-02;80477,00
2024-02-09;85514,00
2024-02-16;80897,00
2024-02-23;81081,00
2024-03-01;85188,00
2024-03-08;83266,00
2024-03-15;85522,00
2024-03-22;86749,00
2024-03-29;76280,00
2024-04-05;80669,00
2024-04-12;80115,00
2024-04-19;78196,00
2024-04-26;77443,00
2024-05-03;80011,00
2024-05-10;80386,00
2024-05-17;78525,00
2024-05-24;77052,00
2024-05-31;72337,00
2024-06-07;73823,00
2024-06-14;74977,00
2024-06-21;74646,00
2024-06-28;75961,00
2024-07-05;75092,00
2024-07-12;75750,00
2024-07-19;74031,00
2024-07-26;74388,00
2024-08-02;76381,00
2024-08-09;77155,00
2024-08-16;74825,00
2024-08-23;79177,00
2024-08-30;76576,00
2024-09-06;78106,00
2024-09-13;81141,00
2024-09-20;79259,00
2024-09-27;83322,00
2024-10-04;82200,00
2024-10-11;80699,00
2024-10-18;78676,00
2024-10-25;80351,00
2024-11-01;79590,00
2024-11-08;80976,00
2024-11-15;77367,00
2024-11-22;80362,00
2024-11-29;83381,00
2024-12-06;83720,00
2024-12-13;82970,00
2024-12-20;81401,00
2024-12-27;74186,00
2025-01-03;73543,00
