data;vazaoturbItaipu
01/01/2016;10588
08/01/2016;11319
15/01/2016;11883
22/01/2016;12432
29/01/2016;13301
05/02/2016;12859
12/02/2016;11768
19/02/2016;13227
26/02/2016;13334
04/03/2016;12600
11/03/2016;11722
18/03/2016;11917
25/03/2016;11738
01/04/2016;11281
08/04/2016;12569
15/04/2016;12053
22/04/2016;12413
29/04/2016;11519
06/05/2016;11206
13/05/2016;11376
20/05/2016;11185
27/05/2016;11699
03/06/2016;11915
10/06/2016;11497
17/06/2016;11246
24/06/2016;13030
01/07/2016;13130
08/07/2016;11996
15/07/2016;11201
22/07/2016;11541
29/07/2016;11502
05/08/2016;10917
12/08/2016;10788
19/08/2016;10863
26/08/2016;11290
02/09/2016;11605
09/09/2016;10923
16/09/2016;11650
23/09/2016;11326
30/09/2016;11145
07/10/2016;10843
14/10/2016;10574
21/10/2016;11715
28/10/2016;11308
04/11/2016;11554
11/11/2016;11838
18/11/2016;10789
25/11/2016;10361
02/12/2016;11100
09/12/2016;11325
16/12/2016;12517
23/12/2016;12322
30/12/2016;11308
06/01/2017;11232
13/01/2017;12235
20/01/2017;11029
27/01/2017;10801
03/02/2017;12455
10/02/2017;12418
17/02/2017;12556
24/02/2017;12513
03/03/2017;9695
10/03/2017;12120
17/03/2017;11495
24/03/2017;10995
31/03/2017;10757
07/04/2017;9926
14/04/2017;9550
21/04/2017;9482
28/04/2017;9863
05/05/2017;8926
12/05/2017;9827
19/05/2017;9552
26/05/2017;10301
02/06/2017;11225
09/06/2017;10899
16/06/2017;10327
23/06/2017;9596
30/06/2017;9817
07/07/2017;9395
14/07/2017;9560
21/07/2017;10191
28/07/2017;9043
04/08/2017;8575
11/08/2017;8624
18/08/2017;8725
25/08/2017;9577
01/09/2017;9875
08/09/2017;9177
15/09/2017;8473
22/09/2017;9217
29/09/2017;10258
06/10/2017;10496
13/10/2017;11358
20/10/2017;10626
27/10/2017;10054
03/11/2017;12339
10/11/2017;12912
17/11/2017;11942
24/11/2017;11238
01/12/2017;12247
08/12/2017;12601
15/12/2017;12357
22/12/2017;12438
29/12/2017;11999
05/01/2018;12910
12/01/2018;13464
19/01/2018;13797
26/01/2018;12968
02/02/2018;13096
09/02/2018;12845
16/02/2018;11559
23/02/2018;12666
02/03/2018;12905
09/03/2018;13532
16/03/2018;13990
23/03/2018;13971
30/03/2018;12704
06/04/2018;12383
13/04/2018;12521
20/04/2018;10664
27/04/2018;10397
04/05/2018;10061
11/05/2018;9030
18/05/2018;8986
25/05/2018;9030
01/06/2018;8269
08/06/2018;8338
15/06/2018;8822
22/06/2018;8006
29/06/2018;8683
06/07/2018;8441
13/07/2018;7884
20/07/2018;7503
27/07/2018;7453
03/08/2018;9370
10/08/2018;8841
17/08/2018;10191
24/08/2018;9434
31/08/2018;8999
07/09/2018;8458
14/09/2018;7600
21/09/2018;7514
28/09/2018;9432
05/10/2018;10090
12/10/2018;10745
19/10/2018;12047
26/10/2018;11958
02/11/2018;12326
09/11/2018;12820
16/11/2018;13096
23/11/2018;12761
30/11/2018;12382
07/12/2018;11304
14/12/2018;10624
21/12/2018;10899
28/12/2018;9968
04/01/2019;8932
11/01/2019;9303
18/01/2019;11445
25/01/2019;11374
01/02/2019;10446
08/02/2019;9689
15/02/2019;8539
22/02/2019;8430
01/03/2019;9467
08/03/2019;9163
15/03/2019;10127
22/03/2019;9934
29/03/2019;9327
05/04/2019;9607
12/04/2019;9883
19/04/2019;9082
26/04/2019;8321
03/05/2019;7778
10/05/2019;8323
17/05/2019;7537
24/05/2019;7287
31/05/2019;7029
07/06/2019;6914
14/06/2019;7460
21/06/2019;7701
28/06/2019;7489
05/07/2019;8014
12/07/2019;7034
19/07/2019;7720
26/07/2019;8201
02/08/2019;7941
09/08/2019;7512
16/08/2019;7354
23/08/2019;7144
30/08/2019;7646
06/09/2019;7752
13/09/2019;8768
20/09/2019;9799
27/09/2019;7966
04/10/2019;8769
11/10/2019;8363
18/10/2019;8185
25/10/2019;8708
01/11/2019;7912
08/11/2019;8785
15/11/2019;8347
22/11/2019;8158
29/11/2019;7851
06/12/2019;7557
13/12/2019;8680
20/12/2019;9364
27/12/2019;8735
03/01/2020;9624
10/01/2020;10271
17/01/2020;10744
24/01/2020;10572
31/01/2020;10115
07/02/2020;10685
14/02/2020;10040
21/02/2020;10270
28/02/2020;9074
06/03/2020;9369
13/03/2020;9374
20/03/2020;9179
27/03/2020;7343
03/04/2020;7157
10/04/2020;5699
17/04/2020;5849
24/04/2020;6755
01/05/2020;6776
08/05/2020;6626
15/05/2020;6327
22/05/2020;7768
29/05/2020;7897
05/06/2020;7244
12/06/2020;6920
19/06/2020;6621
26/06/2020;7168
03/07/2020;7115
10/07/2020;7513
17/07/2020;7211
24/07/2020;6681
31/07/2020;6562
07/08/2020;7209
14/08/2020;7500
21/08/2020;7823
28/08/2020;9400
04/09/2020;8394
11/09/2020;7672
18/09/2020;8529
25/09/2020;8696
02/10/2020;8831
09/10/2020;9162
16/10/2020;8065
23/10/2020;8330
30/10/2020;7734
06/11/2020;7921
13/11/2020;7874
20/11/2020;8246
27/11/2020;8106
04/12/2020;8185
11/12/2020;8064
18/12/2020;7517
25/12/2020;7124
01/01/2021;6637
08/01/2021;6688
15/01/2021;7632
22/01/2021;7955
29/01/2021;10412
05/02/2021;12358
12/02/2021;10759
19/02/2021;9900
26/02/2021;9030
05/03/2021;7639
12/03/2021;7893
19/03/2021;8262
26/03/2021;7576
02/04/2021;6637
09/04/2021;6133
16/04/2021;6380
23/04/2021;6288
30/04/2021;5883
07/05/2021;5922
14/05/2021;5753
21/05/2021;5706
28/05/2021;7814
04/06/2021;5701
11/06/2021;5274
18/06/2021;5203
25/06/2021;5071
02/07/2021;4864
09/07/2021;4493
16/07/2021;5020
23/07/2021;4835
30/07/2021;4683
06/08/2021;4633
13/08/2021;5031
20/08/2021;5181
27/08/2021;5521
03/09/2021;7277
10/09/2021;7925
17/09/2021;7076
24/09/2021;6178
01/10/2021;6172
08/10/2021;7230
15/10/2021;7902
22/10/2021;8697
29/10/2021;8280
05/11/2021;9346
12/11/2021;7874
19/11/2021;6597
26/11/2021;7152
03/12/2021;7850
10/12/2021;6638
17/12/2021;6992
24/12/2021;6110
31/12/2021;5722
07/01/2022;5651
14/01/2022;5762
21/01/2022;5925
28/01/2022;5914
04/02/2022;5328
11/02/2022;5874
18/02/2022;5844
25/02/2022;5600
04/03/2022;6298
11/03/2022;6961
18/03/2022;6957
25/03/2022;7278
01/04/2022;7023
08/04/2022;7021
15/04/2022;6174
22/04/2022;5390
29/04/2022;6430
06/05/2022;5772
13/05/2022;6284
20/05/2022;6412
27/05/2022;6073
03/06/2022;7110
10/06/2022;6123
17/06/2022;6779
24/06/2022;6466
08/07/2022;6527
15/07/2022;6372
22/07/2022;6444
29/07/2022;6289
05/08/2022;6011
12/08/2022;6613
19/08/2022;7050
26/08/2022;7597
02/09/2022;7267
09/09/2022;6874
16/09/2022;7246
23/09/2022;7241
30/09/2022;8302
07/10/2022;9034
14/10/2022;9080
21/10/2022;10493
28/10/2022;12052
04/11/2022;10681
11/11/2022;11450
18/11/2022;10724
25/11/2022;10281
02/12/2022;10381
09/12/2022;9018
16/12/2022;9437
23/12/2022;8719
30/12/2022;7512
06/01/2023;6485
13/01/2023;7487
20/01/2023;8279
27/01/2023;8891
03/02/2023;8732
10/02/2023;9073
17/02/2023;9569
24/02/2023;9274
03/03/2023;9895
10/03/2023;10140
17/03/2023;9702
24/03/2023;10453
31/03/2023;9887
07/04/2023;8946
14/04/2023;9018
21/04/2023;8984
28/04/2023;8580
05/05/2023;9088
12/05/2023;8914
19/05/2023;8499
26/05/2023;7839
02/06/2023;7692
09/06/2023;6591
16/06/2023;8045
23/06/2023;8874
30/06/2023;8604
07/07/2023;7840
14/07/2023;7711
21/07/2023;7387
28/07/2023;7688
04/08/2023;7809
11/08/2023;7739
18/08/2023;7702
25/08/2023;9056
01/09/2023;8622
08/09/2023;8105
15/09/2023;8224
22/09/2023;8919
29/09/2023;10110
06/10/2023;9218
13/10/2023;8476
20/10/2023;8911
27/10/2023;9041
03/11/2023;10673
10/11/2023;11259
17/11/2023;11498
24/11/2023;11246
01/12/2023;10430
08/12/2023;11470
15/12/2023;11141
22/12/2023;11596
29/12/2023;9344
05/01/2024;9472
12/01/2024;10039
19/01/2024;9910
26/01/2024;9846
02/02/2024;8486
09/02/2024;8058
16/02/2024;7009
23/02/2024;7508
01/03/2024;7537
08/03/2024;7800
15/03/2024;6915
22/03/2024;6574
29/03/2024;6170
05/04/2024;6173
12/04/2024;5820
19/04/2024;5367
26/04/2024;7111
03/05/2024;6760
10/05/2024;5573
17/05/2024;5188
24/05/2024;5383
31/05/2024;5122
14/06/2024;5881
21/06/2024;6057
28/06/2024;5435
05/07/2024;5431
12/07/2024;5757
19/07/2024;6129
26/07/2024;5563
02/08/2024;5634
09/08/2024;5915
16/08/2024;5747
23/08/2024;6136
30/08/2024;5765
06/09/2024;6236
13/09/2024;6275
20/09/2024;6396
27/09/2024;7024
04/10/2024;7688
11/10/2024;6791
18/10/2024;6165
25/10/2024;7022
01/11/2024;6903
08/11/2024;7132
15/11/2024;7064
22/11/2024;7839
29/11/2024;8236
06/12/2024;9589
13/12/2024;10551
20/12/2024;10857
27/12/2024;8163
03/01/2025;7089
